List.Year,Date.Recorded,Town,Assessed.Value,Sale.Amount,Sales.Ratio,Property.Type,County,Longitude,Latitude
2012,08/28/2013,East Hampton,274250.0,452500.0,0.606077348,Single Family,Middlesex,-72.5081196,41.6116933
2016,02/15/2017,Shelton,233240.0,340000.0,0.686,Condo,Fairfield,-73.128574,41.3173119
2013,09/29/2014,Brookfield,207330.0,359000.0,0.577520891,Single Family,Fairfield,-73.3788134,41.4699253
2007,06/11/2008,New Haven,149380.0,280000.0,0.5335,Condo,New Haven,-72.9250968,41.3037232
2011,08/31/2012,Bethel,217490.0,237000.0,0.917679325,Condo,Fairfield,-73.41048,41.3779287
2017,06/13/2018,East Lyme,137690.0,245000.0,0.562,Single Family,New London,-72.2100763,41.3116868
2020,05/13/2021,Enfield,267370.0,433250.0,0.6171,Residential,Hartford,-72.5104659,42.002608
2017,03/01/2018,Norwalk,203900.0,361000.0,0.5648,Two Family,Fairfield,-73.4336055,41.1071472
2017,03/06/2018,West Hartford,264530.0,360000.0,0.7348,Single Family,Hartford,-72.7201762,41.7869976
2017,07/25/2018,West Hartford,126700.0,171000.0,0.7409,Single Family,Hartford,-72.7374009,41.7407304
2009,06/03/2010,Wethersfield,138900.0,229900.0,0.604175729,Single Family,Hartford,-72.6664626,41.7168377
2007,09/30/2008,Newington,83580.0,132000.0,0.633181818,Condo,Hartford,-72.7097623,41.6759015
2020,09/10/2021,Naugatuck,119380.0,210000.0,0.5684,Residential,New Haven,-73.0284673,41.5170779
2011,07/27/2012,Woodbury,313820.0,301720.0,1.040103407,Single Family,Litchfield,-73.1859187,41.6009894
2009,07/30/2010,Manchester,182500.0,280000.0,0.651785714,Single Family,Hartford,-72.4807105,41.8113695
2019,01/14/2020,Shelton,154490.0,262500.0,0.5885,Single Family,Fairfield,-73.114007,41.270264
2014,01/16/2015,Meriden,115850.0,170000.0,0.681470588,Single Family,New Haven,-72.7797419,41.5187243
2017,06/11/2018,Bloomfield,156100.0,275000.0,0.5676,Single Family,Hartford,-72.7172437,41.8375206
2019,09/02/2020,Norwich,100100.0,149900.0,0.6678,Single Family,New London,-72.1293719,41.5512999
2018,11/27/2018,West Hartford,211680.0,300000.0,0.7056,Single Family,Hartford,-72.7543936,41.7580051
2014,06/08/2015,West Hartford,371910.0,610000.0,0.609688525,Condo,Hartford,-72.7419383,41.7593442
2010,04/14/2011,Milford,165320.0,150000.0,1.102133333,Single Family,New Haven,-73.1025728,41.2154284
2007,11/09/2007,Windham,37380.0,69900.0,0.534763948,Single Family,Windham,-72.1900064,41.7347937
2009,10/08/2009,Bethel,217420.0,225000.0,0.966311111,Single Family,Fairfield,-73.3886678,41.4067216
2011,05/30/2012,Redding,421100.0,709691.0,0.593356827,Single Family,Fairfield,-73.364123,41.3385785
2008,07/09/2009,West Hartford,301300.0,475000.0,0.634315789,Single Family,Hartford,-72.7685225,41.7383532
2018,05/23/2019,Danbury,258400.0,368000.0,0.7021,Single Family,Fairfield,-73.5027432,41.4124596
2015,06/09/2016,Suffield,98980.0,130000.0,0.761384615,Condo,Hartford,-72.646283,41.981273
2011,06/04/2012,Norwalk,310660.0,460000.0,0.675347826,Single Family,Fairfield,-73.3955388,41.1190316
2008,01/05/2009,East Hampton,177400.0,237500.0,0.746947368,Single Family,Middlesex,-72.5085355,41.5739548
2019,04/20/2020,Simsbury,179390.0,239900.0,0.7477,Single Family,Hartford,-72.8127508,41.9147394
2017,09/04/2018,North Haven,180320.0,235000.0,0.767319149,Single Family,New Haven,-72.8559477,41.4276502
2011,02/23/2012,North Branford,162400.0,158500.0,1.024605678,Single Family,New Haven,-72.7525928,41.4093884
2020,10/20/2020,Old Saybrook,222100.0,385000.0,0.576883117,Residential,Middlesex,-72.3744253,41.2941617
